AAindex	Loop	Family	Sequence_name	Value
BHAR880101	5	3	D7VU77_9FLAO/1-50	0.47
Sequence_size	5	3	D7W802_9FLAO/1-48	6.0
BHAR880101	5	3	D7W802_9FLAO/1-48	0.39
Sequence_size	1	4	IOB1_ISYOB/1-36	7.0
BHAR880101	1	4	IOB1_ISYOB/1-36	0.51
Sequence_size	1	4	ADO1_AGRDO/1-35	7.0
BHAR880101	1	4	ADO1_AGRDO/1-35	0.51
Sequence_size	1	4	PTU1_PEITU/1-34	7.0
BHAR880101	1	4	PTU1_PEITU/1-34	0.46
Sequence_size	2	4	IOB1_ISYOB/1-36	7.0
BHAR880101	2	4	IOB1_ISYOB/1-36	0.47
Sequence_size	2	4	ADO1_AGRDO/1-35	7.0
BHAR880101	2	4	ADO1_AGRDO/1-35	0.47
Sequence_size	2	4	PTU1_PEITU/1-34	7.0
BHAR880101	2	4	PTU1_PEITU/1-34	0.47
Sequence_size	3	4	IOB1_ISYOB/1-36	1.0
BHAR880101	3	4	IOB1_ISYOB/1-36	0.35
Sequence_size	3	4	ADO1_AGRDO/1-35	1.0
BHAR880101	3	4	ADO1_AGRDO/1-35	0.35
Sequence_size	3	4	PTU1_PEITU/1-34	1.0
BHAR880101	3	4	PTU1_PEITU/1-34	0.35
Sequence_size	4	4	IOB1_ISYOB/1-36	5.0
BHAR880101	4	4	IOB1_ISYOB/1-36	0.44
Sequence_size	4	4	ADO1_AGRDO/1-35	5.0
BHAR880101	4	4	ADO1_AGRDO/1-35	0.44
Sequence_size	4	4	PTU1_PEITU/1-34	6.0
BHAR880101	4	4	PTU1_PEITU/1-34	0.41
Sequence_size	5	4	IOB1_ISYOB/1-36	8.0
BHAR880101	5	4	IOB1_ISYOB/1-36	0.35
Sequence_size	5	4	ADO1_AGRDO/1-35	8.0
BHAR880101	5	4	ADO1_AGRDO/1-35	0.35
Sequence_size	5	4	PTU1_PEITU/1-34	8.0
BHAR880101	5	4	PTU1_PEITU/1-34	0.44
Sequence_size	1	5	A0A1S4BQ42_TOBAC/1-93	4.0
BHAR880101	1	5	A0A1S4BQ42_TOBAC/1-93	0.49
Sequence_size	1	5	K4CBJ5_SOLLC/1-82	4.0
BHAR880101	1	5	K4CBJ5_SOLLC/1-82	0.49
Sequence_size	1	5	A0A089Q749_SOLHA/1-82	4.0
BHAR880101	1	5	A0A089Q749_SOLHA/1-82	0.49
Sequence_size	1	5	K4CBJ6_SOLLC/1-82	4.0
BHAR880101	1	5	K4CBJ6_SOLLC/1-82	0.44
Sequence_size	1	5	M1D116_SOLTU/1-50	4.0
BHAR880101	1	5	M1D116_SOLTU/1-50	0.46
Sequence_size	1	5	M1D117_SOLTU/1-80	4.0
BHAR880101	1	5	M1D117_SOLTU/1-80	0.46
Sequence_size	1	5	K4BWY9_SOLLC/1-90	4.0
BHAR880101	1	5	K4BWY9_SOLLC/1-90	0.51
Sequence_size	1	5	Q949A1_SOLPL/1-87	4.0
BHAR880101	1	5	Q949A1_SOLPL/1-87	0.42
Sequence_size	1	5	M1A6J5_SOLTU/1-63	4.0
BHAR880101	1	5	M1A6J5_SOLTU/1-63	0.44
Sequence_size	1	5	M1A6J6_SOLTU/1-72	4.0
BHAR880101	1	5	M1A6J6_SOLTU/1-72	0.44
Sequence_size	1	5	A0A097H170_SOLTU/1-89	4.0
BHAR880101	1	5	A0A097H170_SOLTU/1-89	0.44
Sequence_size	1	5	M1D4V9_SOLTU/1-96	4.0
BHAR880101	1	5	M1D4V9_SOLTU/1-96	0.44
Sequence_size	1	5	A0A097H167_SOLTU/1-90	4.0
BHAR880101	1	5	A0A097H167_SOLTU/1-90	0.44
Sequence_size	1	5	A0A0V0GVX7_SOLCH/1-90	4.0
BHAR880101	1	5	A0A0V0GVX7_SOLCH/1-90	0.44
Sequence_size	1	5	M0ZJ50_SOLTU/1-90	4.0
BHAR880101	1	5	M0ZJ50_SOLTU/1-90	0.44
Sequence_size	1	5	K4AW10_SOLLC/1-115	4.0
BHAR880101	1	5	K4AW10_SOLLC/1-115	0.42
Sequence_size	1	5	M1C2I1_SOLTU/1-108	4.0
BHAR880101	1	5	M1C2I1_SOLTU/1-108	0.42
Sequence_size	1	5	K4BFC2_SOLLC/1-56	4.0
BHAR880101	1	5	K4BFC2_SOLLC/1-56	0.53
Sequence_size	1	5	K4BFC1_SOLLC/1-86	4.0
BHAR880101	1	5	K4BFC1_SOLLC/1-86	0.44
Sequence_size	1	5	M1A256_SOLTU/1-56	4.0
BHAR880101	1	5	M1A256_SOLTU/1-56	0.44
Sequence_size	1	5	M1A257_SOLTU/1-87	4.0
BHAR880101	1	5	M1A257_SOLTU/1-87	0.44
Sequence_size	1	5	K4BFC0_SOLLC/1-83	4.0
BHAR880101	1	5	K4BFC0_SOLLC/1-83	0.5
Sequence_size	1	5	M1A255_SOLTU/1-53	4.0
BHAR880101	1	5	M1A255_SOLTU/1-53	0.5
Sequence_size	1	5	K4BFC4_SOLLC/1-83	4.0
BHAR880101	1	5	K4BFC4_SOLLC/1-83	0.35
Sequence_size	1	5	K4BFC3_SOLLC/1-86	4.0
BHAR880101	1	5	K4BFC3_SOLLC/1-86	0.43
Sequence_size	1	5	M1A258_SOLTU/1-86	4.0
BHAR880101	1	5	M1A258_SOLTU/1-86	0.51
Sequence_size	1	5	FSPM_SOLLC/1-96	4.0
BHAR880101	1	5	FSPM_SOLLC/1-96	0.48
Sequence_size	1	5	Q949A1_SOLBR/1-87	4.0
BHAR880101	1	5	Q949A1_SOLBR/1-87	0.42
Sequence_size	1	5	Q9SXP0_HYONI/1-103	4.0
BHAR880101	1	5	Q9SXP0_HYONI/1-103	0.38
Sequence_size	1	5	E3W9P4_TOBAC/1-93	4.0
BHAR880101	1	5	E3W9P4_TOBAC/1-93	0.49
Sequence_size	1	5	E3W9P5_TOBAC/1-93	4.0
BHAR880101	1	5	E3W9P5_TOBAC/1-93	0.49
Sequence_size	1	5	MCPI_SOLTU/1-39	4.0
BHAR880101	1	5	MCPI_SOLTU/1-39	0.46
Sequence_size	1	5	MCPI_SOLLC/1-77	4.0
BHAR880101	1	5	MCPI_SOLLC/1-77	0.41
Sequence_size	1	5	Q9SBH8_SOLTU/1-102	4.0
BHAR880101	1	5	Q9SBH8_SOLTU/1-102	0.46
Sequence_size	1	5	O24372_SOLTU/1-90	4.0
BHAR880101	1	5	O24372_SOLTU/1-90	0.44
Sequence_size	1	5	Q41432_SOLTU/1-90	4.0
BHAR880101	1	5	Q41432_SOLTU/1-90	0.44
Sequence_size	1	5	Q3S486_SOLTU/1-90	4.0
BHAR880101	1	5	Q3S486_SOLTU/1-90	0.44
Sequence_size	1	5	Q3S480_SOLTU/1-90	4.0
BHAR880101	1	5	Q3S480_SOLTU/1-90	0.44
Sequence_size	1	5	Q948Z8_SOLTU/1-90	4.0
BHAR880101	1	5	Q948Z8_SOLTU/1-90	0.44
Sequence_size	1	5	O24639_SOLTU/1-96	4.0
BHAR880101	1	5	O24639_SOLTU/1-96	0.44
Sequence_size	1	5	O24373_SOLTU/1-96	4.0
BHAR880101	1	5	O24373_SOLTU/1-96	0.44
Sequence_size	2	5	A0A1S4BQ42_TOBAC/1-93	6.0
BHAR880101	2	5	A0A1S4BQ42_TOBAC/1-93	0.49
Sequence_size	2	5	K4CBJ5_SOLLC/1-82	6.0
BHAR880101	2	5	K4CBJ5_SOLLC/1-82	0.44
Sequence_size	2	5	A0A089Q749_SOLHA/1-82	6.0
BHAR880101	2	5	A0A089Q749_SOLHA/1-82	0.45
Sequence_size	2	5	K4CBJ6_SOLLC/1-82	6.0
BHAR880101	2	5	K4CBJ6_SOLLC/1-82	0.46
Sequence_size	2	5	M1D116_SOLTU/1-50	6.0
BHAR880101	2	5	M1D116_SOLTU/1-50	0.46
Sequence_size	2	5	M1D117_SOLTU/1-80	6.0
BHAR880101	2	5	M1D117_SOLTU/1-80	0.46
Sequence_size	2	5	K4BWY9_SOLLC/1-90	6.0
BHAR880101	2	5	K4BWY9_SOLLC/1-90	0.45
Sequence_size	2	5	Q949A1_SOLPL/1-87	6.0
BHAR880101	2	5	Q949A1_SOLPL/1-87	0.48
Sequence_size	2	5	M1A6J5_SOLTU/1-63	6.0
BHAR880101	2	5	M1A6J5_SOLTU/1-63	0.44
Sequence_size	2	5	M1A6J6_SOLTU/1-72	6.0
BHAR880101	2	5	M1A6J6_SOLTU/1-72	0.44
Sequence_size	2	5	A0A097H170_SOLTU/1-89	6.0
BHAR880101	2	5	A0A097H170_SOLTU/1-89	0.44
Sequence_size	2	5	M1D4V9_SOLTU/1-96	6.0
BHAR880101	2	5	M1D4V9_SOLTU/1-96	0.44
Sequence_size	2	5	A0A097H167_SOLTU/1-90	6.0
BHAR880101	2	5	A0A097H167_SOLTU/1-90	0.45
Sequence_size	2	5	A0A0V0GVX7_SOLCH/1-90	6.0
BHAR880101	2	5	A0A0V0GVX7_SOLCH/1-90	0.45
Sequence_size	2	5	M0ZJ50_SOLTU/1-90	6.0
BHAR880101	2	5	M0ZJ50_SOLTU/1-90	0.45
Sequence_size	2	5	K4AW10_SOLLC/1-115	6.0
BHAR880101	2	5	K4AW10_SOLLC/1-115	0.48
Sequence_size	2	5	M1C2I1_SOLTU/1-108	6.0
BHAR880101	2	5	M1C2I1_SOLTU/1-108	0.46
Sequence_size	2	5	K4BFC2_SOLLC/1-56	6.0
BHAR880101	2	5	K4BFC2_SOLLC/1-56	0.43
Sequence_size	2	5	K4BFC1_SOLLC/1-86	6.0
BHAR880101	2	5	K4BFC1_SOLLC/1-86	0.51
Sequence_size	2	5	M1A256_SOLTU/1-56	6.0
BHAR880101	2	5	M1A256_SOLTU/1-56	0.49
Sequence_size	2	5	M1A257_SOLTU/1-87	6.0
BHAR880101	2	5	M1A257_SOLTU/1-87	0.49
Sequence_size	2	5	K4BFC0_SOLLC/1-83	6.0
BHAR880101	2	5	K4BFC0_SOLLC/1-83	0.51
Sequence_size	2	5	M1A255_SOLTU/1-53	6.0
BHAR880101	2	5	M1A255_SOLTU/1-53	0.48
Sequence_size	2	5	K4BFC4_SOLLC/1-83	6.0
BHAR880101	2	5	K4BFC4_SOLLC/1-83	0.51
Sequence_size	2	5	K4BFC3_SOLLC/1-86	6.0
BHAR880101	2	5	K4BFC3_SOLLC/1-86	0.51
Sequence_size	2	5	M1A258_SOLTU/1-86	6.0
BHAR880101	2	5	M1A258_SOLTU/1-86	0.51
Sequence_size	2	5	FSPM_SOLLC/1-96	6.0
BHAR880101	2	5	FSPM_SOLLC/1-96	0.51
Sequence_size	2	5	Q949A1_SOLBR/1-87	6.0
BHAR880101	2	5	Q949A1_SOLBR/1-87	0.48
Sequence_size	2	5	Q9SXP0_HYONI/1-103	6.0
BHAR880101	2	5	Q9SXP0_HYONI/1-103	0.48
Sequence_size	2	5	E3W9P4_TOBAC/1-93	6.0
BHAR880101	2	5	E3W9P4_TOBAC/1-93	0.49
Sequence_size	2	5	E3W9P5_TOBAC/1-93	6.0
BHAR880101	2	5	E3W9P5_TOBAC/1-93	0.49
Sequence_size	2	5	MCPI_SOLTU/1-39	6.0
BHAR880101	2	5	MCPI_SOLTU/1-39	0.46
Sequence_size	2	5	MCPI_SOLLC/1-77	6.0
BHAR880101	2	5	MCPI_SOLLC/1-77	0.5
Sequence_size	2	5	Q9SBH8_SOLTU/1-102	6.0
BHAR880101	2	5	Q9SBH8_SOLTU/1-102	0.46
Sequence_size	2	5	O24372_SOLTU/1-90	6.0
BHAR880101	2	5	O24372_SOLTU/1-90	0.45
Sequence_size	2	5	Q41432_SOLTU/1-90	6.0
BHAR880101	2	5	Q41432_SOLTU/1-90	0.45
Sequence_size	2	5	Q3S486_SOLTU/1-90	6.0
BHAR880101	2	5	Q3S486_SOLTU/1-90	0.45
Sequence_size	2	5	Q3S480_SOLTU/1-90	6.0
BHAR880101	2	5	Q3S480_SOLTU/1-90	0.48
Sequence_size	2	5	Q948Z8_SOLTU/1-90	6.0
BHAR880101	2	5	Q948Z8_SOLTU/1-90	0.44
Sequence_size	2	5	O24639_SOLTU/1-96	6.0
BHAR880101	2	5	O24639_SOLTU/1-96	0.44
Sequence_size	2	5	O24373_SOLTU/1-96	6.0
BHAR880101	2	5	O24373_SOLTU/1-96	0.44
Sequence_size	3	5	A0A1S4BQ42_TOBAC/1-93	6.0
BHAR880101	3	5	A0A1S4BQ42_TOBAC/1-93	0.44
Sequence_size	3	5	K4CBJ5_SOLLC/1-82	6.0
BHAR880101	3	5	K4CBJ5_SOLLC/1-82	0.36
Sequence_size	3	5	A0A089Q749_SOLHA/1-82	6.0
BHAR880101	3	5	A0A089Q749_SOLHA/1-82	0.39
Sequence_size	3	5	K4CBJ6_SOLLC/1-82	6.0
BHAR880101	3	5	K4CBJ6_SOLLC/1-82	0.39
Sequence_size	3	5	M1D116_SOLTU/1-50	6.0
BHAR880101	3	5	M1D116_SOLTU/1-50	0.36
Sequence_size	3	5	M1D117_SOLTU/1-80	6.0
BHAR880101	3	5	M1D117_SOLTU/1-80	0.36
Sequence_size	3	5	K4BWY9_SOLLC/1-90	6.0
BHAR880101	3	5	K4BWY9_SOLLC/1-90	0.4
Sequence_size	3	5	Q949A1_SOLPL/1-87	6.0
BHAR880101	3	5	Q949A1_SOLPL/1-87	0.45
Sequence_size	3	5	M1A6J5_SOLTU/1-63	6.0
BHAR880101	3	5	M1A6J5_SOLTU/1-63	0.4
Sequence_size	3	5	M1A6J6_SOLTU/1-72	6.0
BHAR880101	3	5	M1A6J6_SOLTU/1-72	0.4
Sequence_size	3	5	A0A097H170_SOLTU/1-89	6.0
BHAR880101	3	5	A0A097H170_SOLTU/1-89	0.4
Sequence_size	3	5	M1D4V9_SOLTU/1-96	6.0
BHAR880101	3	5	M1D4V9_SOLTU/1-96	0.4
Sequence_size	3	5	A0A097H167_SOLTU/1-90	6.0
BHAR880101	3	5	A0A097H167_SOLTU/1-90	0.4
Sequence_size	3	5	A0A0V0GVX7_SOLCH/1-90	6.0
BHAR880101	3	5	A0A0V0GVX7_SOLCH/1-90	0.4
Sequence_size	3	5	M0ZJ50_SOLTU/1-90	6.0
BHAR880101	3	5	M0ZJ50_SOLTU/1-90	0.4
Sequence_size	3	5	K4AW10_SOLLC/1-115	6.0
BHAR880101	3	5	K4AW10_SOLLC/1-115	0.44
Sequence_size	3	5	M1C2I1_SOLTU/1-108	6.0
BHAR880101	3	5	M1C2I1_SOLTU/1-108	0.41
Sequence_size	3	5	K4BFC2_SOLLC/1-56	6.0
BHAR880101	3	5	K4BFC2_SOLLC/1-56	0.48
Sequence_size	3	5	K4BFC1_SOLLC/1-86	6.0
BHAR880101	3	5	K4BFC1_SOLLC/1-86	0.41
Sequence_size	3	5	M1A256_SOLTU/1-56	6.0
BHAR880101	3	5	M1A256_SOLTU/1-56	0.46
Sequence_size	3	5	M1A257_SOLTU/1-87	6.0
BHAR880101	3	5	M1A257_SOLTU/1-87	0.46
Sequence_size	3	5	K4BFC0_SOLLC/1-83	6.0
BHAR880101	3	5	K4BFC0_SOLLC/1-83	0.48
Sequence_size	3	5	M1A255_SOLTU/1-53	6.0
BHAR880101	3	5	M1A255_SOLTU/1-53	0.48
Sequence_size	3	5	K4BFC4_SOLLC/1-83	6.0
BHAR880101	3	5	K4BFC4_SOLLC/1-83	0.41
Sequence_size	3	5	K4BFC3_SOLLC/1-86	6.0
BHAR880101	3	5	K4BFC3_SOLLC/1-86	0.46
Sequence_size	3	5	M1A258_SOLTU/1-86	6.0
BHAR880101	3	5	M1A258_SOLTU/1-86	0.46
Sequence_size	3	5	FSPM_SOLLC/1-96	6.0
BHAR880101	3	5	FSPM_SOLLC/1-96	0.45
Sequence_size	3	5	Q949A1_SOLBR/1-87	6.0
BHAR880101	3	5	Q949A1_SOLBR/1-87	0.45
Sequence_size	3	5	Q9SXP0_HYONI/1-103	6.0
BHAR880101	3	5	Q9SXP0_HYONI/1-103	0.44
Sequence_size	3	5	E3W9P4_TOBAC/1-93	6.0
BHAR880101	3	5	E3W9P4_TOBAC/1-93	0.42
Sequence_size	3	5	E3W9P5_TOBAC/1-93	6.0
BHAR880101	3	5	E3W9P5_TOBAC/1-93	0.44
Sequence_size	3	5	MCPI_SOLTU/1-39	6.0
BHAR880101	3	5	MCPI_SOLTU/1-39	0.35
Sequence_size	3	5	MCPI_SOLLC/1-77	6.0
BHAR880101	3	5	MCPI_SOLLC/1-77	0.48
Sequence_size	3	5	Q9SBH8_SOLTU/1-102	6.0
BHAR880101	3	5	Q9SBH8_SOLTU/1-102	0.35
Sequence_size	3	5	O24372_SOLTU/1-90	6.0
BHAR880101	3	5	O24372_SOLTU/1-90	0.4
Sequence_size	3	5	Q41432_SOLTU/1-90	6.0
BHAR880101	3	5	Q41432_SOLTU/1-90	0.4
Sequence_size	3	5	Q3S486_SOLTU/1-90	6.0
BHAR880101	3	5	Q3S486_SOLTU/1-90	0.36
Sequence_size	3	5	Q3S480_SOLTU/1-90	6.0
BHAR880101	3	5	Q3S480_SOLTU/1-90	0.4
Sequence_size	3	5	Q948Z8_SOLTU/1-90	6.0
BHAR880101	3	5	Q948Z8_SOLTU/1-90	0.4
Sequence_size	3	5	O24639_SOLTU/1-96	6.0
BHAR880101	3	5	O24639_SOLTU/1-96	0.45
Sequence_size	3	5	O24373_SOLTU/1-96	6.0
BHAR880101	3	5	O24373_SOLTU/1-96	0.4
Sequence_size	4	5	A0A1S4BQ42_TOBAC/1-93	3.0
BHAR880101	4	5	A0A1S4BQ42_TOBAC/1-93	0.5
Sequence_size	4	5	K4CBJ5_SOLLC/1-82	3.0
BHAR880101	4	5	K4CBJ5_SOLLC/1-82	0.36
Sequence_size	4	5	A0A089Q749_SOLHA/1-82	3.0
BHAR880101	4	5	A0A089Q749_SOLHA/1-82	0.36
Sequence_size	4	5	K4CBJ6_SOLLC/1-82	3.0
BHAR880101	4	5	K4CBJ6_SOLLC/1-82	0.36
Sequence_size	4	5	M1D116_SOLTU/1-50	3.0
BHAR880101	4	5	M1D116_SOLTU/1-50	0.36
